CustomerName,ContactLastName,ContactFirstName,Phone,Address,City,State,PostalCode,Country,Territory
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA
Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,EMEA
Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,San Francisco,CA,,USA,NA
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA
Daedalus Designs Imports,Rance,Martine,20.16.1555,"184, chausse de Tournai",Lille,,59000,France,EMEA
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,EMEA
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,San Francisco,CA,,USA,NA
Auto Canal Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,EMEA
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC
Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,NA
Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,NA
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA
"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,EMEA
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,Salzburg,,5020,Austria,EMEA
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC
FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,EMEA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA
"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsvgen  8,Lule,,S-958 22,Sweden,EMEA
